2023-04-02 16:10:28,522 INFO    MainThread:1454541 [wandb_setup.py:_flush():76] Configure stats pid to 1454541
2023-04-02 16:10:28,523 INFO    MainThread:1454541 [wandb_setup.py:_flush():76] Loading settings from /home1/09012/haoli1/.config/wandb/settings
2023-04-02 16:10:28,523 INFO    MainThread:1454541 [wandb_setup.py:_flush():76] Loading settings from /work/09012/haoli1/ls6/ERA5_PredRNN/predrnn-pytorch/wandb/settings
2023-04-02 16:10:28,523 INFO    MainThread:1454541 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-02 16:10:28,523 INFO    MainThread:1454541 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-02 16:10:28,523 INFO    MainThread:1454541 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'predrnn-pytorch/run1.py', 'program': '/work/09012/haoli1/ls6/ERA5_PredRNN/predrnn-pytorch/run1.py'}
2023-04-02 16:10:28,523 INFO    MainThread:1454541 [wandb_init.py:_log_setup():506] Logging user logs to /work/09012/haoli1/ls6/ERA5_PredRNN/predrnn-pytorch/wandb/run-20230402_161019-zitkf67k/logs/debug.log
2023-04-02 16:10:28,523 INFO    MainThread:1454541 [wandb_init.py:_log_setup():507] Logging internal logs to /work/09012/haoli1/ls6/ERA5_PredRNN/predrnn-pytorch/wandb/run-20230402_161019-zitkf67k/logs/debug-internal.log
2023-04-02 16:10:28,524 INFO    MainThread:1454541 [wandb_init.py:init():546] calling init triggers
2023-04-02 16:10:28,525 INFO    MainThread:1454541 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2023-04-02 16:10:28,525 INFO    MainThread:1454541 [wandb_init.py:init():602] starting backend
2023-04-02 16:10:28,525 INFO    MainThread:1454541 [wandb_init.py:init():606] setting up manager
2023-04-02 16:10:28,528 INFO    MainThread:1454541 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-02 16:10:28,530 INFO    MainThread:1454541 [wandb_init.py:init():613] backend started and connected
2023-04-02 16:10:28,534 INFO    MainThread:1454541 [wandb_init.py:init():701] updated telemetry
2023-04-02 16:10:28,606 INFO    MainThread:1454541 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-04-02 16:10:28,782 INFO    MainThread:1454541 [wandb_run.py:_on_init():2133] communicating current version
2023-04-02 16:10:28,850 INFO    MainThread:1454541 [wandb_run.py:_on_init():2142] got version response 
2023-04-02 16:10:28,850 INFO    MainThread:1454541 [wandb_init.py:init():789] starting run threads in backend
2023-04-02 16:10:28,986 INFO    MainThread:1454541 [wandb_run.py:_console_start():2114] atexit reg
2023-04-02 16:10:28,986 INFO    MainThread:1454541 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-04-02 16:10:28,987 INFO    MainThread:1454541 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-04-02 16:10:28,987 INFO    MainThread:1454541 [wandb_run.py:_redirect():2059] Redirects installed.
2023-04-02 16:10:28,987 INFO    MainThread:1454541 [wandb_init.py:init():831] run started, returning control to user process
