2023-04-10 05:01:56,101 INFO    MainThread:911086 [wandb_setup.py:_flush():76] Configure stats pid to 911086
2023-04-10 05:01:56,102 INFO    MainThread:911086 [wandb_setup.py:_flush():76] Loading settings from /home1/09012/haoli1/.config/wandb/settings
2023-04-10 05:01:56,102 INFO    MainThread:911086 [wandb_setup.py:_flush():76] Loading settings from /work/09012/haoli1/ls6/ERA5_PredRNN/predrnn-pytorch/wandb/settings
2023-04-10 05:01:56,102 INFO    MainThread:911086 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-10 05:01:56,102 INFO    MainThread:911086 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-10 05:01:56,102 INFO    MainThread:911086 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'predrnn-pytorch/run1.py', 'program': '/work/09012/haoli1/ls6/ERA5_PredRNN/predrnn-pytorch/run1.py'}
2023-04-10 05:01:56,102 INFO    MainThread:911086 [wandb_init.py:_log_setup():506] Logging user logs to /work/09012/haoli1/ls6/ERA5_PredRNN/predrnn-pytorch/wandb/run-20230410_050156-wgvyda8e/logs/debug.log
2023-04-10 05:01:56,102 INFO    MainThread:911086 [wandb_init.py:_log_setup():507] Logging internal logs to /work/09012/haoli1/ls6/ERA5_PredRNN/predrnn-pytorch/wandb/run-20230410_050156-wgvyda8e/logs/debug-internal.log
2023-04-10 05:01:56,102 INFO    MainThread:911086 [wandb_init.py:init():546] calling init triggers
2023-04-10 05:01:56,102 INFO    MainThread:911086 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2023-04-10 05:01:56,102 INFO    MainThread:911086 [wandb_init.py:init():602] starting backend
2023-04-10 05:01:56,102 INFO    MainThread:911086 [wandb_init.py:init():606] setting up manager
2023-04-10 05:01:56,105 INFO    MainThread:911086 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-10 05:01:56,107 INFO    MainThread:911086 [wandb_init.py:init():613] backend started and connected
2023-04-10 05:01:56,111 INFO    MainThread:911086 [wandb_init.py:init():701] updated telemetry
2023-04-10 05:01:56,148 INFO    MainThread:911086 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-04-10 05:01:56,327 INFO    MainThread:911086 [wandb_run.py:_on_init():2133] communicating current version
2023-04-10 05:01:56,394 INFO    MainThread:911086 [wandb_run.py:_on_init():2142] got version response upgrade_message: "wandb version 0.14.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-04-10 05:01:56,394 INFO    MainThread:911086 [wandb_init.py:init():789] starting run threads in backend
2023-04-10 05:01:56,517 INFO    MainThread:911086 [wandb_run.py:_console_start():2114] atexit reg
2023-04-10 05:01:56,517 INFO    MainThread:911086 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-04-10 05:01:56,517 INFO    MainThread:911086 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-04-10 05:01:56,518 INFO    MainThread:911086 [wandb_run.py:_redirect():2059] Redirects installed.
2023-04-10 05:01:56,518 INFO    MainThread:911086 [wandb_init.py:init():831] run started, returning control to user process
2023-04-10 05:01:56,518 INFO    MainThread:911086 [wandb_config.py:__setitem__():152] config set model_name = predrnn_v2 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x152199d64b80>>
2023-04-10 05:01:56,518 INFO    MainThread:911086 [wandb_run.py:_config_callback():1251] config_cb model_name predrnn_v2 None
2023-04-10 05:01:56,519 INFO    MainThread:911086 [wandb_config.py:__setitem__():152] config set opt = Adam - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x152199d64b80>>
2023-04-10 05:01:56,519 INFO    MainThread:911086 [wandb_run.py:_config_callback():1251] config_cb opt Adam None
2023-04-10 05:01:56,519 INFO    MainThread:911086 [wandb_config.py:__setitem__():152] config set lr = 0.0001 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x152199d64b80>>
2023-04-10 05:01:56,519 INFO    MainThread:911086 [wandb_run.py:_config_callback():1251] config_cb lr 0.0001 None
2023-04-10 05:01:56,519 INFO    MainThread:911086 [wandb_config.py:__setitem__():152] config set batch_size = 1 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x152199d64b80>>
2023-04-10 05:01:56,519 INFO    MainThread:911086 [wandb_run.py:_config_callback():1251] config_cb batch_size 1 None
2023-04-11 11:48:32,321 WARNING MsgRouterThr:911086 [router.py:message_loop():77] message_loop has been closed
